+--------------+---------+--------------+----------+--------+--------------+-------------+------------+--------+--------------------------------------+
| walker_index | counter | is_discarded | is_reset | f_rmse | disagreement | temperature | identifier | e_rmse |                               stdout |
+--------------+---------+--------------+----------+--------+--------------+-------------+------------+--------+--------------------------------------+
|            0 |   10000 |        False |    False |  26.98 |         None |      561.08 |        900 |   0.96 | task_28614_molecular_dynamics_openmm |
|            1 |   10000 |        False |    False |  34.22 |         None |      523.35 |        901 |   4.20 | task_28626_molecular_dynamics_openmm |
|            2 |   10000 |        False |    False |  26.02 |         None |      561.10 |        902 |   0.06 | task_28638_molecular_dynamics_openmm |
|            3 |   10000 |        False |    False |  25.86 |         None |      557.98 |        903 |   1.17 | task_28650_molecular_dynamics_openmm |
|            4 |   10000 |        False |    False |  32.68 |         None |      571.17 |        904 |   1.05 | task_28662_molecular_dynamics_openmm |
|            5 |   10000 |        False |    False |  38.28 |         None |      542.95 |        905 |   3.45 | task_28674_molecular_dynamics_openmm |
|            6 |   10000 |        False |    False |  35.66 |         None |      557.85 |        906 |   4.25 | task_28686_molecular_dynamics_openmm |
|            7 |   10000 |        False |    False |  34.98 |         None |      570.42 |        907 |   1.36 | task_28698_molecular_dynamics_openmm |
|            8 |   10000 |        False |    False |  34.38 |         None |      532.78 |        908 |   3.26 | task_28710_molecular_dynamics_openmm |
|            9 |   10000 |        False |    False |  34.16 |         None |      552.21 |        909 |   4.22 | task_28722_molecular_dynamics_openmm |
|           10 |   10000 |        False |    False |  29.61 |         None |      569.19 |        910 |   1.33 | task_28734_molecular_dynamics_openmm |
|           11 |   10000 |        False |    False |  44.61 |         None |      550.32 |        911 |   7.99 | task_28746_molecular_dynamics_openmm |
|           12 |   10000 |        False |    False |  29.27 |         None |      556.88 |        912 |   0.08 | task_28758_molecular_dynamics_openmm |
|           13 |   10000 |        False |    False |  39.51 |         None |      540.45 |        913 |   4.64 | task_28770_molecular_dynamics_openmm |
|           14 |   10000 |        False |    False |  37.96 |         None |      579.65 |        914 |   4.21 | task_28782_molecular_dynamics_openmm |
|           15 |   10000 |        False |    False |  35.10 |         None |      567.46 |        915 |   1.37 | task_28794_molecular_dynamics_openmm |
|           16 |   10000 |        False |    False |  34.54 |         None |      594.33 |        916 |   0.74 | task_28806_molecular_dynamics_openmm |
|           17 |   10000 |        False |    False |  39.31 |         None |      581.32 |        917 |   3.33 | task_28818_molecular_dynamics_openmm |
|           18 |   10000 |        False |    False |  36.56 |         None |      563.13 |        918 |   3.51 | task_28830_molecular_dynamics_openmm |
|           19 |   10000 |        False |    False |  32.11 |         None |      568.37 |        919 |   0.86 | task_28842_molecular_dynamics_openmm |
|           20 |   10000 |        False |    False |  33.38 |         None |      580.72 |        920 |   0.43 | task_28854_molecular_dynamics_openmm |
|           21 |   10000 |        False |    False |  29.24 |         None |      567.15 |        921 |   0.99 | task_28866_molecular_dynamics_openmm |
|           22 |   10000 |        False |    False |  27.16 |         None |      595.35 |        922 |   0.19 | task_28878_molecular_dynamics_openmm |
|           23 |   10000 |        False |    False |  30.06 |         None |      601.23 |        923 |   0.50 | task_28890_molecular_dynamics_openmm |
|           24 |   10000 |        False |    False |  37.25 |         None |      569.59 |        924 |   1.56 | task_28902_molecular_dynamics_openmm |
|           25 |   10000 |        False |    False |  33.72 |         None |      579.00 |        925 |   1.85 | task_28914_molecular_dynamics_openmm |
|           26 |   10000 |        False |    False |  36.31 |         None |      586.56 |        926 |   1.58 | task_28926_molecular_dynamics_openmm |
|           27 |   10000 |        False |    False |  32.09 |         None |      566.03 |        927 |   0.52 | task_28938_molecular_dynamics_openmm |
|           28 |   10000 |        False |    False |  30.27 |         None |      566.72 |        928 |   1.00 | task_28950_molecular_dynamics_openmm |
|           29 |   10000 |        False |    False |  26.19 |         None |      571.68 |        929 |   0.67 | task_28962_molecular_dynamics_openmm |
