+--------------+---------+--------------+----------+--------+--------------+-------------+------------+--------+--------------------------------------+
| walker_index | counter | is_discarded | is_reset | f_rmse | disagreement | temperature | identifier | e_rmse |                               stdout |
|           30 |   10000 |        False |    False |  36.67 |         None |      581.41 |        930 |   2.49 | task_28974_molecular_dynamics_openmm |
|           31 |   10000 |        False |    False |  28.80 |         None |      586.81 |        931 |   0.53 | task_28986_molecular_dynamics_openmm |
|           32 |   10000 |        False |    False |  27.43 |         None |      588.67 |        932 |   0.15 | task_28998_molecular_dynamics_openmm |
|           33 |   10000 |        False |    False |  27.22 |         None |      578.91 |        933 |   0.97 | task_29010_molecular_dynamics_openmm |
|           34 |   10000 |        False |    False |  41.64 |         None |      586.25 |        934 |   3.50 | task_29022_molecular_dynamics_openmm |
|           35 |   10000 |        False |    False |  29.10 |         None |      573.43 |        935 |   0.58 | task_29034_molecular_dynamics_openmm |
|           36 |   10000 |        False |    False |  32.31 |         None |      575.56 |        936 |   0.79 | task_29046_molecular_dynamics_openmm |
|           37 |   10000 |        False |    False |  28.62 |         None |      564.74 |        937 |   0.53 | task_29058_molecular_dynamics_openmm |
|           38 |   10000 |        False |    False |  27.68 |         None |      583.58 |        938 |   0.39 | task_29070_molecular_dynamics_openmm |
|           39 |   10000 |        False |    False |  29.84 |         None |      595.15 |        939 |   0.82 | task_29082_molecular_dynamics_openmm |
|           40 |   10000 |        False |    False |  32.18 |         None |      597.08 |        940 |   0.20 | task_29094_molecular_dynamics_openmm |
|           41 |   10000 |        False |    False |  26.98 |         None |      602.12 |        941 |   0.25 | task_29106_molecular_dynamics_openmm |
|           42 |    2000 |        False |    False |  26.72 |         None |      573.08 |        942 |   0.02 | task_29118_molecular_dynamics_openmm |
|           43 |   10000 |        False |    False |  31.90 |         None |      579.66 |        943 |   0.62 | task_29130_molecular_dynamics_openmm |
|           44 |   10000 |        False |    False |  32.50 |         None |      594.50 |        944 |   0.34 | task_29142_molecular_dynamics_openmm |
|           45 |   10000 |        False |    False |  25.91 |         None |      580.60 |        945 |   0.22 | task_29154_molecular_dynamics_openmm |
|           46 |   10000 |        False |    False |  29.01 |         None |      574.58 |        946 |   0.34 | task_29166_molecular_dynamics_openmm |
|           47 |   10000 |        False |    False |  31.84 |         None |      575.63 |        947 |   0.68 | task_29178_molecular_dynamics_openmm |
|           48 |   10000 |        False |    False |  39.36 |         None |      572.67 |        948 |   3.21 | task_29190_molecular_dynamics_openmm |
|           49 |   10000 |        False |    False |  28.39 |         None |      558.60 |        949 |   0.11 | task_29202_molecular_dynamics_openmm |
|           50 |   10000 |        False |    False |  27.16 |         None |      582.12 |        950 |   0.57 | task_29214_molecular_dynamics_openmm |
|           51 |   10000 |        False |    False |  34.89 |         None |      600.43 |        951 |   1.33 | task_29226_molecular_dynamics_openmm |
|           52 |   10000 |        False |    False |  34.09 |         None |      590.20 |        952 |   0.68 | task_29238_molecular_dynamics_openmm |
|           53 |   10000 |        False |    False |  30.10 |         None |      614.39 |        953 |   0.35 | task_29250_molecular_dynamics_openmm |
|           54 |   10000 |        False |    False |  48.16 |         None |      566.11 |        954 |   6.17 | task_29262_molecular_dynamics_openmm |
|           55 |   10000 |        False |    False |  32.61 |         None |      585.67 |        955 |   0.59 | task_29274_molecular_dynamics_openmm |
|           56 |   10000 |        False |    False |  38.58 |         None |      586.53 |        956 |   1.45 | task_29286_molecular_dynamics_openmm |
|           57 |   10000 |        False |    False |  31.77 |         None |      591.32 |        957 |   0.10 | task_29298_molecular_dynamics_openmm |
|           58 |   10000 |        False |    False |  30.83 |         None |      587.77 |        958 |   0.48 | task_29310_molecular_dynamics_openmm |
|           59 |   10000 |        False |    False |  30.59 |         None |      570.69 |        959 |   0.09 | task_29322_molecular_dynamics_openmm |
|           60 |   10000 |        False |    False |  27.42 |         None |      588.02 |        960 |   0.03 | task_29334_molecular_dynamics_openmm |
|           61 |   10000 |        False |    False |  40.92 |         None |      583.58 |        961 |   2.81 | task_29346_molecular_dynamics_openmm |
|           62 |   10000 |        False |    False |  26.44 |         None |      578.76 |        962 |   0.35 | task_29358_molecular_dynamics_openmm |
|           63 |   10000 |        False |    False |  32.03 |         None |      600.77 |        963 |   0.09 | task_29370_molecular_dynamics_openmm |
|           64 |   10000 |        False |    False |  33.24 |         None |      606.72 |        964 |   0.64 | task_29382_molecular_dynamics_openmm |
|           65 |   10000 |        False |    False |  29.55 |         None |      588.61 |        965 |   0.04 | task_29394_molecular_dynamics_openmm |
|           66 |   10000 |        False |    False |  29.03 |         None |      570.77 |        966 |   0.34 | task_29406_molecular_dynamics_openmm |
|           67 |   10000 |        False |    False |  28.18 |         None |      598.42 |        967 |   0.00 | task_29418_molecular_dynamics_openmm |
|           68 |   10000 |        False |    False |  26.14 |         None |      586.31 |        968 |   0.08 | task_29430_molecular_dynamics_openmm |
|           69 |   10000 |        False |    False |  33.91 |         None |      578.90 |        969 |   1.01 | task_29442_molecular_dynamics_openmm |
|           70 |   10000 |        False |    False |  28.82 |         None |      592.04 |        970 |   0.19 | task_29454_molecular_dynamics_openmm |
|           71 |   10000 |        False |    False |  39.20 |         None |      581.50 |        971 |   5.41 | task_29466_molecular_dynamics_openmm |
|           72 |   10000 |        False |    False |  25.56 |         None |      589.25 |        972 |   0.18 | task_29478_molecular_dynamics_openmm |
|           73 |   10000 |        False |    False |  31.56 |         None |      597.25 |        973 |   0.16 | task_29490_molecular_dynamics_openmm |
|           74 |   10000 |        False |    False |  26.90 |         None |      591.47 |        974 |   0.15 | task_29502_molecular_dynamics_openmm |
|           75 |   10000 |        False |    False |  28.87 |         None |      594.55 |        975 |   0.38 | task_29514_molecular_dynamics_openmm |
|           76 |   10000 |        False |    False |  26.52 |         None |      595.01 |        976 |   0.22 | task_29526_molecular_dynamics_openmm |
|           77 |   10000 |        False |    False |  34.76 |         None |      584.42 |        977 |   0.77 | task_29538_molecular_dynamics_openmm |
|           78 |   10000 |        False |    False |  32.62 |         None |      603.20 |        978 |   0.21 | task_29550_molecular_dynamics_openmm |
|           79 |   10000 |        False |    False |  29.05 |         None |      576.34 |        979 |   0.13 | task_29562_molecular_dynamics_openmm |
|           80 |   10000 |        False |    False |  39.31 |         None |      572.88 |        980 |   2.94 | task_29574_molecular_dynamics_openmm |
|           81 |   10000 |        False |    False |  31.98 |         None |      561.97 |        981 |   1.72 | task_29586_molecular_dynamics_openmm |
|           82 |   10000 |        False |    False |  33.86 |         None |      579.60 |        982 |   1.37 | task_29598_molecular_dynamics_openmm |
|           83 |   10000 |        False |    False |  40.86 |         None |      570.35 |        983 |   4.23 | task_29610_molecular_dynamics_openmm |
|           84 |   10000 |        False |    False |  37.32 |         None |      566.36 |        984 |   3.37 | task_29622_molecular_dynamics_openmm |
|           85 |   10000 |        False |    False |  29.46 |         None |      542.54 |        985 |   0.63 | task_29634_molecular_dynamics_openmm |
|           86 |    3000 |        False |    False |  26.22 |         None |      559.90 |        986 |   0.16 | task_29646_molecular_dynamics_openmm |
|           87 |   10000 |        False |    False |  36.59 |         None |      547.60 |        987 |   3.78 | task_29658_molecular_dynamics_openmm |
|           88 |   10000 |        False |    False |  38.22 |         None |      549.16 |        988 |   3.24 | task_29670_molecular_dynamics_openmm |
|           89 |   10000 |        False |    False |  45.16 |         None |      547.15 |        989 |   6.69 | task_29682_molecular_dynamics_openmm |
+--------------+---------+--------------+----------+--------+--------------+-------------+------------+--------+--------------------------------------+
