+------------+--------+--------+----------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_I | f_rmse_Cs | f_rmse_Pb |                          stdout |
|         42 |   0.03 |  31.43 |    25.52 |    40.97 |    46.53 |    29.70 |     19.44 |     40.21 |  task_2334_cp2k_singlepoint_pre |
|         43 |   0.01 |  34.89 |    26.32 |    37.68 |    51.41 |    35.44 |     23.41 |     53.18 |  task_2337_cp2k_singlepoint_pre |
|         44 |   0.37 |  29.90 |    19.04 |    30.75 |    43.05 |    34.82 |     22.22 |     45.65 |  task_2340_cp2k_singlepoint_pre |
|         45 |   0.26 |  36.13 |    25.38 |    44.53 |    55.53 |    35.86 |     18.93 |     55.41 |  task_2343_cp2k_singlepoint_pre |
|         46 |   0.05 |  31.15 |    22.55 |    38.54 |    59.90 |    28.37 |     17.77 |     41.69 |  task_2346_cp2k_singlepoint_pre |
|         47 |   0.65 |  33.34 |    19.74 |    34.00 |    40.40 |    38.13 |     27.84 |     58.62 |  task_2349_cp2k_singlepoint_pre |
|         48 |   0.30 |  29.45 |    20.94 |    33.55 |    44.06 |    31.13 |     17.44 |     43.86 |  task_2352_cp2k_singlepoint_pre |
|         49 |   0.02 |  30.41 |    20.47 |    32.23 |    44.33 |    34.57 |     18.96 |     45.42 |  task_2355_cp2k_singlepoint_pre |
|         50 |   0.49 |  30.77 |    19.33 |    31.33 |    38.48 |    35.43 |     23.83 |     55.73 |  task_2358_cp2k_singlepoint_pre |
|         51 |   0.12 |  26.99 |    18.77 |    32.78 |    39.36 |    28.35 |     19.67 |     41.35 |  task_2361_cp2k_singlepoint_pre |
|         52 |   0.17 |  37.20 |    25.72 |    44.64 |    53.37 |    39.36 |     20.76 |     58.70 |  task_2364_cp2k_singlepoint_pre |
|         53 |   0.29 |  27.82 |    19.69 |    31.36 |    38.36 |    30.78 |     17.98 |     42.95 |  task_2367_cp2k_singlepoint_pre |
|         54 |   0.03 |  29.96 |    21.46 |    36.19 |    50.62 |    28.97 |     17.48 |     44.42 |  task_2370_cp2k_singlepoint_pre |
|         55 |   0.31 |  46.56 |    37.46 |    64.34 |    82.91 |    40.37 |     18.81 |     48.28 |  task_2373_cp2k_singlepoint_pre |
|         56 |   0.23 |  33.46 |    22.67 |    37.72 |    42.71 |    38.91 |     23.82 |     52.23 |  task_2376_cp2k_singlepoint_pre |
|         57 |   0.42 |  30.88 |    23.04 |    40.88 |    45.98 |    30.50 |     17.98 |     42.05 |  task_2379_cp2k_singlepoint_pre |
|         58 |   0.17 |  28.37 |    19.18 |    32.94 |    38.90 |    31.94 |     19.38 |     44.00 |  task_2383_cp2k_singlepoint_pre |
|         59 |   0.01 |  29.69 |    21.52 |    35.15 |    44.68 |    32.22 |     17.71 |     41.18 |  task_2385_cp2k_singlepoint_pre |
|         60 |   0.36 |  35.40 |    23.84 |    39.52 |    53.71 |    39.12 |     29.49 |     57.35 |  task_2388_cp2k_singlepoint_pre |
|         61 |   0.19 |  30.28 |    21.13 |    36.19 |    43.69 |    32.32 |     23.66 |     48.15 |  task_2391_cp2k_singlepoint_pre |
|         62 |   0.23 |  31.51 |    22.25 |    34.72 |    47.17 |    34.06 |     23.78 |     50.77 |  task_2394_cp2k_singlepoint_pre |
|         63 |   0.21 |  27.95 |    18.79 |    30.91 |    41.26 |    31.83 |     17.68 |     45.08 |  task_2397_cp2k_singlepoint_pre |
|         64 |   0.17 |  28.37 |    18.23 |    30.54 |    37.81 |    33.41 |     22.55 |     49.42 |  task_2400_cp2k_singlepoint_pre |
|         65 |   0.27 |  30.67 |    22.00 |    39.36 |    46.57 |    30.82 |     18.17 |     45.29 |  task_2403_cp2k_singlepoint_pre |
|         66 |   0.27 |  29.56 |    21.49 |    38.05 |    40.23 |    31.69 |     13.10 |     42.38 |  task_2406_cp2k_singlepoint_pre |
|         67 |   0.20 |  32.56 |    24.94 |    42.08 |    45.63 |    33.36 |     18.11 |     43.91 |  task_2409_cp2k_singlepoint_pre |
|         68 |   0.07 |  32.82 |    21.83 |    38.62 |    44.74 |    37.04 |     20.86 |     54.27 |  task_2412_cp2k_singlepoint_pre |
|         69 |   0.25 |  34.92 |    25.36 |    37.71 |    53.44 |    36.88 |     26.86 |     55.72 |  task_2415_cp2k_singlepoint_pre |
|         70 |   0.15 |  35.37 |    21.30 |    40.13 |    45.87 |    42.30 |       nan |     66.65 |  task_2418_cp2k_singlepoint_pre |
|         71 |   0.23 |  38.63 |    26.23 |    44.65 |    56.67 |    43.93 |       nan |     62.34 |  task_2421_cp2k_singlepoint_pre |
|         72 |   0.12 |  35.84 |    25.01 |    44.24 |    53.30 |    43.56 |       nan |     42.54 |  task_2424_cp2k_singlepoint_pre |
|         73 |   0.34 |  28.35 |    18.21 |    30.78 |    34.27 |    36.85 |       nan |     47.52 |  task_2427_cp2k_singlepoint_pre |
|         74 |   0.01 |  29.77 |    20.97 |    35.58 |    44.46 |    32.04 |       nan |     46.78 |  task_2430_cp2k_singlepoint_pre |
|         75 |   0.30 |  31.30 |    21.51 |    34.81 |    39.77 |    37.11 |       nan |     53.44 |  task_2433_cp2k_singlepoint_pre |
