+------------+--------+--------+----------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_I | f_rmse_Cs | f_rmse_Pb |                          stdout |
|        179 |   0.29 |  13.76 |    10.97 |    16.64 |    18.14 |    12.59 |      8.49 |     20.34 |  task_5163_cp2k_singlepoint_pre |
|        180 |   0.25 |  10.33 |      nan |      nan |      nan |     9.65 |      6.18 |     14.70 |  task_7916_cp2k_singlepoint_pre |
|        181 |   0.20 |  10.86 |      nan |      nan |      nan |    10.66 |      7.63 |     13.81 |  task_7918_cp2k_singlepoint_pre |
|        182 |   0.07 |  12.84 |      nan |      nan |      nan |    11.80 |      8.20 |     18.42 |  task_7920_cp2k_singlepoint_pre |
|        183 |   0.37 |  11.57 |      nan |      nan |      nan |    10.56 |      7.87 |     16.52 |  task_7928_cp2k_singlepoint_pre |
|        184 |   0.16 |  11.53 |      nan |      nan |      nan |    10.52 |      7.04 |     16.83 |  task_7926_cp2k_singlepoint_pre |
|        185 |   0.24 |  11.60 |      nan |      nan |      nan |    10.59 |      7.57 |     16.69 |  task_7932_cp2k_singlepoint_pre |
|        186 |   0.35 |  12.51 |      nan |      nan |      nan |    11.79 |      7.74 |     17.49 |  task_7922_cp2k_singlepoint_pre |
|        187 |   0.32 |  10.72 |      nan |      nan |      nan |     9.81 |      6.44 |     15.64 |  task_7930_cp2k_singlepoint_pre |
|        188 |   0.06 |  13.54 |      nan |      nan |      nan |    12.48 |      8.10 |     19.59 |  task_7924_cp2k_singlepoint_pre |
|        189 |   0.03 |  11.19 |      nan |      nan |      nan |    10.41 |      6.69 |     16.00 |  task_7934_cp2k_singlepoint_pre |
|        190 |   0.03 |  13.29 |     9.28 |    14.69 |    18.92 |    12.64 |      8.92 |     20.38 |  task_7936_cp2k_singlepoint_pre |
|        191 |   0.01 |  12.12 |     9.06 |    15.09 |    18.56 |    11.39 |      7.55 |     17.46 |  task_7938_cp2k_singlepoint_pre |
|        192 |   0.10 |  12.48 |     9.44 |    15.93 |    14.04 |    12.10 |      8.60 |     17.85 |  task_7954_cp2k_singlepoint_pre |
|        193 |   0.14 |  12.49 |     8.59 |    15.07 |    15.24 |    12.37 |      8.59 |     18.35 |  task_7946_cp2k_singlepoint_pre |
|        194 |   0.04 |  12.28 |     8.69 |    14.78 |    15.97 |    11.98 |      7.51 |     18.25 |  task_7942_cp2k_singlepoint_pre |
|        195 |   0.10 |  12.30 |     8.67 |    13.67 |    18.12 |    12.06 |      7.37 |     18.22 |  task_7944_cp2k_singlepoint_pre |
|        196 |   0.00 |  13.05 |     9.44 |    16.66 |    17.57 |    12.67 |      8.19 |     18.73 |  task_7940_cp2k_singlepoint_pre |
|        197 |   0.22 |  11.56 |     8.73 |    13.44 |    16.57 |    11.07 |      6.84 |     16.96 |  task_7948_cp2k_singlepoint_pre |
|        198 |   0.26 |  11.99 |     8.77 |    15.18 |    14.02 |    11.70 |      7.35 |     17.58 |  task_7950_cp2k_singlepoint_pre |
|        199 |   0.20 |  13.03 |     9.50 |    17.29 |    16.04 |    12.25 |      8.89 |     19.21 |  task_7952_cp2k_singlepoint_pre |
|        200 |   0.22 |  12.68 |     9.16 |    14.91 |    15.14 |    12.54 |      9.04 |     19.45 |  task_7960_cp2k_singlepoint_pre |
|        201 |   0.20 |  12.95 |     9.69 |    15.67 |    17.54 |    12.88 |      8.25 |     18.61 |  task_7958_cp2k_singlepoint_pre |
|        202 |   0.21 |  13.59 |     9.06 |    14.39 |    15.58 |    13.47 |      8.24 |     23.14 |  task_7956_cp2k_singlepoint_pre |
|        203 |   0.10 |  12.24 |     9.11 |    13.14 |    15.65 |    12.53 |      7.55 |     18.28 |  task_7968_cp2k_singlepoint_pre |
|        204 |   0.08 |  12.59 |     8.68 |    14.44 |    16.21 |    12.30 |      8.67 |     20.14 |  task_7972_cp2k_singlepoint_pre |
|        205 |   0.08 |  13.11 |    10.14 |    15.59 |    15.43 |    12.89 |      7.57 |     19.74 |  task_7970_cp2k_singlepoint_pre |
|        206 |   0.03 |  12.94 |     9.71 |    13.63 |    16.49 |    13.11 |      8.49 |     19.49 |  task_7974_cp2k_singlepoint_pre |
|        207 |   0.19 |  12.34 |     9.03 |    13.37 |    15.98 |    12.39 |      8.14 |     18.88 |  task_7964_cp2k_singlepoint_pre |
|        208 |   0.05 |  12.36 |     8.91 |    14.76 |    17.04 |    11.90 |      7.53 |     19.16 |  task_7966_cp2k_singlepoint_pre |
|        209 |   0.03 |  13.78 |     9.68 |    15.06 |    17.76 |    13.97 |      8.82 |     21.41 |  task_7962_cp2k_singlepoint_pre |
|        210 |   0.06 |  13.51 |     9.63 |    14.65 |    18.22 |    13.94 |      9.91 |     21.03 |  task_7990_cp2k_singlepoint_pre |
|        211 |   0.19 |  12.78 |     8.92 |    14.12 |    14.68 |    13.55 |      7.12 |     20.79 |  task_7992_cp2k_singlepoint_pre |
|        212 |   0.04 |  13.20 |     9.22 |    13.89 |    15.94 |    14.21 |      8.44 |     20.98 |  task_7980_cp2k_singlepoint_pre |
|        213 |   0.06 |  14.12 |     9.85 |    15.24 |    17.60 |    14.76 |      8.22 |     23.07 |  task_7982_cp2k_singlepoint_pre |
|        214 |   0.01 |  12.89 |     9.46 |    14.66 |    18.10 |    12.88 |      8.61 |     19.77 |  task_7984_cp2k_singlepoint_pre |
|        215 |   0.17 |  13.58 |     9.14 |    14.46 |    16.27 |    14.60 |      9.56 |     21.96 |  task_7978_cp2k_singlepoint_pre |
|        216 |   0.04 |  13.08 |     9.33 |    13.64 |    16.22 |    13.90 |     10.08 |     20.37 |  task_7986_cp2k_singlepoint_pre |
|        217 |   0.01 |  13.04 |     9.40 |    15.54 |    17.16 |    13.16 |      9.24 |     19.93 |  task_7988_cp2k_singlepoint_pre |
|        218 |   0.12 |  13.42 |     9.16 |    15.24 |    15.40 |    13.73 |      8.54 |     22.66 |  task_7976_cp2k_singlepoint_pre |
|        219 |   0.10 |  13.44 |     9.19 |    16.34 |    20.69 |    13.48 |      8.58 |     20.10 |  task_7994_cp2k_singlepoint_pre |
|        220 |   0.16 |  12.97 |     9.64 |    14.02 |    16.29 |    13.08 |      9.02 |     21.77 |  task_8004_cp2k_singlepoint_pre |
|        221 |   0.04 |  13.67 |     9.75 |    15.31 |    14.91 |    14.72 |      9.16 |     22.67 |  task_8000_cp2k_singlepoint_pre |
|        222 |   0.07 |  13.22 |     8.97 |    14.20 |    15.67 |    14.42 |      8.76 |     22.49 |  task_7998_cp2k_singlepoint_pre |
|        223 |   0.05 |  13.50 |     9.98 |    15.77 |    18.11 |    13.65 |      7.75 |     21.33 |  task_7996_cp2k_singlepoint_pre |
|        224 |   0.06 |  13.15 |     9.53 |    14.29 |    15.21 |    14.44 |      8.76 |     20.89 |  task_8012_cp2k_singlepoint_pre |
|        225 |   0.23 |  13.60 |     9.21 |    14.96 |    16.85 |    14.56 |     10.84 |     22.78 |  task_8010_cp2k_singlepoint_pre |
|        226 |   0.11 |  14.18 |     9.28 |    13.65 |    14.53 |    16.13 |     10.60 |     25.37 |  task_8002_cp2k_singlepoint_pre |
|        227 |   0.19 |  14.76 |     9.62 |    15.46 |    15.77 |    16.70 |     12.08 |     25.31 |  task_8006_cp2k_singlepoint_pre |
|        228 |   0.01 |  12.68 |     9.36 |    14.94 |    15.91 |    12.96 |      8.34 |     20.06 |  task_8008_cp2k_singlepoint_pre |
|        229 |   0.03 |  13.59 |     8.73 |    15.47 |    15.25 |    14.95 |      8.90 |     23.49 |  task_8014_cp2k_singlepoint_pre |
|        230 |   0.04 |  13.60 |     9.45 |    14.50 |    17.10 |    15.09 |     10.28 |     23.09 |  task_8016_cp2k_singlepoint_pre |
|        231 |   0.01 |  12.70 |     9.20 |    15.40 |    14.97 |    12.90 |      8.70 |     21.61 |  task_8022_cp2k_singlepoint_pre |
|        232 |   0.11 |  13.20 |     9.67 |    14.17 |    14.99 |    14.03 |      8.83 |     23.20 |  task_8024_cp2k_singlepoint_pre |
|        233 |   0.06 |  13.42 |     9.28 |    14.67 |    15.90 |    14.78 |      9.52 |     23.33 |  task_8018_cp2k_singlepoint_pre |
|        234 |   0.05 |  13.24 |     9.13 |    14.58 |    15.12 |    15.28 |      8.99 |     21.95 |  task_8020_cp2k_singlepoint_pre |
|        235 |   0.14 |  12.93 |     9.28 |    12.94 |    14.46 |    14.74 |     10.08 |     22.07 |  task_8032_cp2k_singlepoint_pre |
|        236 |   0.19 |  13.40 |     9.35 |    15.39 |    14.33 |    15.21 |     11.03 |     22.08 |  task_8028_cp2k_singlepoint_pre |
|        237 |   0.10 |  13.15 |     8.96 |    15.39 |    16.47 |    14.76 |     11.30 |     20.89 |  task_8030_cp2k_singlepoint_pre |
|        238 |   0.03 |  13.83 |     9.44 |    15.07 |    15.35 |    15.92 |      9.91 |     23.56 |  task_8034_cp2k_singlepoint_pre |
|        239 |   0.09 |  12.80 |     8.90 |    13.94 |    14.54 |    14.69 |      9.31 |     21.29 |  task_8026_cp2k_singlepoint_pre |
|        240 |   0.06 |  13.48 |     9.53 |    14.69 |    16.85 |    15.34 |     12.14 |     22.64 |  task_8050_cp2k_singlepoint_pre |
|        241 |   0.09 |  13.34 |     9.51 |    16.19 |    16.51 |    14.83 |      8.83 |     21.14 |  task_8052_cp2k_singlepoint_pre |
|        242 |   0.10 |  13.56 |     9.79 |    16.16 |    16.01 |    14.25 |     10.02 |     23.54 |  task_8060_cp2k_singlepoint_pre |
|        243 |   0.02 |  13.88 |     9.46 |    15.43 |    16.18 |    15.96 |      9.05 |     24.57 |  task_8068_cp2k_singlepoint_pre |
|        244 |   0.04 |  13.50 |     9.31 |    15.13 |    16.33 |    14.93 |     10.12 |     24.15 |  task_8066_cp2k_singlepoint_pre |
|        245 |   0.09 |  13.02 |     9.50 |    14.38 |    17.54 |    14.07 |      6.86 |     21.64 |  task_8062_cp2k_singlepoint_pre |
|        246 |   0.02 |  13.24 |     9.27 |    15.35 |    16.00 |    14.93 |      8.77 |     22.21 |  task_8070_cp2k_singlepoint_pre |
|        247 |   0.25 |  14.60 |    10.22 |    15.63 |    17.76 |    16.80 |      8.04 |     25.30 |  task_8064_cp2k_singlepoint_pre |
|        248 |   0.13 |  13.41 |     9.51 |    15.13 |    14.32 |    15.03 |     10.79 |     23.80 |  task_8072_cp2k_singlepoint_pre |
|        249 |   0.02 |  13.41 |     9.37 |    15.17 |    16.43 |    14.60 |      9.71 |     23.80 |  task_8074_cp2k_singlepoint_pre |
|        250 |   0.14 |  14.71 |     9.94 |    16.13 |    17.43 |    16.73 |       nan |     28.14 |  task_8086_cp2k_singlepoint_pre |
|        251 |   0.17 |  14.45 |    10.11 |    15.73 |    17.30 |    17.24 |       nan |     25.09 |  task_8078_cp2k_singlepoint_pre |
|        252 |   0.04 |  14.06 |     9.68 |    15.48 |    18.08 |    16.03 |       nan |     25.28 |  task_8080_cp2k_singlepoint_pre |
|        253 |   0.12 |  13.04 |     9.44 |    14.75 |    16.94 |    14.39 |       nan |     22.26 |  task_8076_cp2k_singlepoint_pre |
|        254 |   0.03 |  13.31 |     9.79 |    15.14 |    16.14 |    14.02 |       nan |     24.17 |  task_8088_cp2k_singlepoint_pre |
|        255 |   0.01 |  14.92 |     9.74 |    15.72 |    18.52 |    18.04 |       nan |     27.66 |  task_8082_cp2k_singlepoint_pre |
|        256 |   0.02 |  14.05 |    10.19 |    15.29 |    16.80 |    16.56 |       nan |     23.60 |  task_8090_cp2k_singlepoint_pre |
|        257 |   0.12 |  13.64 |     9.42 |    15.70 |    16.02 |    15.52 |       nan |     24.68 |  task_8084_cp2k_singlepoint_pre |
|        258 |   0.05 |  14.09 |     9.45 |    15.92 |    17.13 |    16.15 |       nan |     26.07 |  task_8092_cp2k_singlepoint_pre |
|        259 |   0.01 |  13.66 |     9.90 |    15.47 |    17.19 |    15.16 |       nan |     23.47 |  task_8094_cp2k_singlepoint_pre |
|        260 |   0.12 |  12.61 |    10.36 |    13.66 |    14.97 |    12.01 |      8.71 |     17.67 |  task_8048_cp2k_singlepoint_pre |
|        261 |   0.05 |  11.88 |     9.40 |    16.67 |    12.91 |    11.42 |      7.20 |     16.32 |  task_8038_cp2k_singlepoint_pre |
|        262 |   0.02 |  12.80 |     9.32 |    14.18 |    20.99 |    11.68 |      8.03 |     19.14 |  task_8036_cp2k_singlepoint_pre |
|        263 |   0.11 |  13.18 |     9.64 |    14.65 |    11.64 |    12.54 |      8.07 |     19.84 |  task_8054_cp2k_singlepoint_pre |
|        264 |   0.18 |  11.63 |     8.66 |    16.72 |    14.28 |    10.92 |      8.22 |     16.08 |  task_8056_cp2k_singlepoint_pre |
|        265 |   0.04 |  12.88 |     8.92 |    16.38 |    17.20 |    12.43 |      7.43 |     18.47 |  task_8042_cp2k_singlepoint_pre |
|        266 |   0.01 |  12.50 |    10.50 |    16.08 |    16.07 |    11.67 |      8.33 |     17.32 |  task_8040_cp2k_singlepoint_pre |
|        267 |   0.09 |  12.06 |     9.01 |    11.91 |    16.49 |    11.59 |      7.87 |     17.35 |  task_8044_cp2k_singlepoint_pre |
|        268 |   0.03 |  12.08 |     9.84 |    14.04 |    13.24 |    11.25 |      7.16 |     17.89 |  task_8046_cp2k_singlepoint_pre |
|        269 |   0.12 |  12.78 |     9.20 |    13.54 |    18.02 |    12.14 |      7.83 |     18.82 |  task_8058_cp2k_singlepoint_pre |
|        270 |   0.31 |  12.01 |      nan |      nan |      nan |    10.66 |      7.46 |     18.01 | task_10776_cp2k_singlepoint_pre |
|        271 |   0.20 |  12.38 |      nan |      nan |      nan |    12.26 |      7.31 |     16.19 | task_10780_cp2k_singlepoint_pre |
|        272 |   0.05 |  12.63 |      nan |      nan |      nan |    11.86 |      7.41 |     17.90 | task_10778_cp2k_singlepoint_pre |
|        273 |   0.24 |  12.17 |      nan |      nan |      nan |    11.16 |      7.69 |     17.54 | task_10782_cp2k_singlepoint_pre |
|        274 |   0.30 |  12.84 |      nan |      nan |      nan |    11.77 |      7.26 |     18.88 | task_10794_cp2k_singlepoint_pre |
|        275 |   0.22 |  12.17 |      nan |      nan |      nan |    11.46 |      7.89 |     16.86 | task_10784_cp2k_singlepoint_pre |
|        276 |   0.27 |  11.51 |      nan |      nan |      nan |    11.40 |      6.32 |     15.26 | task_10792_cp2k_singlepoint_pre |
|        277 |   0.24 |  13.51 |      nan |      nan |      nan |    12.06 |      8.31 |     20.19 | task_10786_cp2k_singlepoint_pre |
|        278 |   0.03 |  15.14 |      nan |      nan |      nan |    13.91 |      8.33 |     22.27 | task_10788_cp2k_singlepoint_pre |
|        279 |   0.10 |  12.72 |      nan |      nan |      nan |    11.79 |      7.63 |     18.25 | task_10790_cp2k_singlepoint_pre |
|        280 |   0.06 |  13.01 |     9.63 |    14.62 |    16.17 |    13.32 |      7.92 |     18.23 | task_10812_cp2k_singlepoint_pre |
|        281 |   0.04 |  13.58 |     9.98 |    16.51 |    14.72 |    13.04 |      7.67 |     20.92 | task_10800_cp2k_singlepoint_pre |
|        282 |   0.04 |  13.24 |     9.75 |    15.18 |    19.54 |    12.37 |      7.48 |     20.33 | task_10814_cp2k_singlepoint_pre |
|        283 |   0.04 |  13.71 |    10.86 |    16.65 |    18.58 |    12.28 |      8.69 |     20.98 | task_10796_cp2k_singlepoint_pre |
|        284 |   0.11 |  12.79 |     9.53 |    13.87 |    16.67 |    11.83 |      8.52 |     20.11 | task_10808_cp2k_singlepoint_pre |
|        285 |   0.06 |  13.25 |     9.92 |    15.32 |    18.43 |    12.69 |      7.29 |     19.86 | task_10810_cp2k_singlepoint_pre |
|        286 |   0.01 |  12.65 |     9.08 |    15.01 |    17.46 |    11.52 |      7.95 |     20.04 | task_10804_cp2k_singlepoint_pre |
|        287 |   0.21 |  11.99 |     9.27 |    15.21 |    17.41 |    11.45 |      7.21 |     16.80 | task_10802_cp2k_singlepoint_pre |
|        288 |   0.05 |  12.59 |     9.84 |    15.48 |    16.08 |    12.04 |      7.50 |     18.28 | task_10806_cp2k_singlepoint_pre |
|        289 |   0.30 |  12.79 |    10.31 |    15.58 |    18.04 |    11.81 |      7.14 |     18.84 | task_10798_cp2k_singlepoint_pre |
|        290 |   0.16 |  13.74 |     9.86 |    14.98 |    18.25 |    13.74 |      9.25 |     21.15 | task_10818_cp2k_singlepoint_pre |
|        291 |   0.21 |  13.71 |     9.60 |    14.89 |    16.07 |    13.57 |      8.48 |     22.55 | task_10828_cp2k_singlepoint_pre |
|        292 |   0.08 |  12.95 |     9.79 |    14.66 |    16.75 |    12.70 |      8.23 |     19.70 | task_10824_cp2k_singlepoint_pre |
|        293 |   0.04 |  12.38 |     8.47 |    14.88 |    14.06 |    12.04 |      7.63 |     20.36 | task_10826_cp2k_singlepoint_pre |
|        294 |   0.13 |  12.39 |     9.17 |    15.49 |    17.87 |    11.77 |      7.83 |     18.37 | task_10820_cp2k_singlepoint_pre |
|        295 |   0.11 |  14.29 |    10.47 |    18.03 |    20.27 |    12.99 |      8.34 |     22.62 | task_10822_cp2k_singlepoint_pre |
|        296 |   0.01 |  12.47 |     9.27 |    15.25 |    16.90 |    12.30 |      6.87 |     18.41 | task_10816_cp2k_singlepoint_pre |
|        297 |   0.03 |  12.85 |     9.43 |    15.48 |    15.72 |    13.23 |      7.56 |     18.56 | task_10834_cp2k_singlepoint_pre |
|        298 |   0.03 |  12.97 |     9.37 |    14.52 |    19.24 |    12.40 |      8.04 |     20.22 | task_10832_cp2k_singlepoint_pre |
|        299 |   0.06 |  13.21 |     9.68 |    14.42 |    14.92 |    13.19 |      8.39 |     20.96 | task_10830_cp2k_singlepoint_pre |
|        300 |   0.03 |  13.21 |     9.53 |    14.42 |    17.68 |    13.03 |      8.55 |     21.75 | task_10848_cp2k_singlepoint_pre |
|        301 |   0.13 |  13.48 |     9.79 |    15.94 |    18.73 |    13.18 |      9.11 |     21.04 | task_10850_cp2k_singlepoint_pre |
|        302 |   0.16 |  13.09 |     9.44 |    15.96 |    17.58 |    13.21 |      8.04 |     19.79 | task_10852_cp2k_singlepoint_pre |
|        303 |   0.07 |  12.97 |     9.52 |    15.68 |    16.59 |    12.42 |      8.15 |     20.97 | task_10844_cp2k_singlepoint_pre |
|        304 |   0.15 |  13.83 |    10.33 |    16.10 |    17.20 |    12.85 |      9.89 |     23.10 | task_10840_cp2k_singlepoint_pre |
|        305 |   0.05 |  12.98 |     9.35 |    14.97 |    15.54 |    13.38 |      8.74 |     20.39 | task_10836_cp2k_singlepoint_pre |
|        306 |   0.04 |  13.50 |     9.74 |    15.24 |    14.29 |    14.25 |      9.05 |     21.37 | task_10854_cp2k_singlepoint_pre |
|        307 |   0.08 |  14.05 |    10.01 |    16.09 |    16.19 |    14.02 |     10.59 |     23.16 | task_10838_cp2k_singlepoint_pre |
|        308 |   0.07 |  13.41 |    10.10 |    15.93 |    17.26 |    12.98 |      8.01 |     21.21 | task_10842_cp2k_singlepoint_pre |
|        309 |   0.16 |  13.08 |     9.77 |    14.68 |    17.44 |    13.08 |      9.35 |     20.11 | task_10846_cp2k_singlepoint_pre |
|        310 |   0.13 |  13.45 |     9.80 |    16.16 |    18.36 |    13.49 |      8.63 |     21.09 | task_10858_cp2k_singlepoint_pre |
|        311 |   0.09 |  12.88 |     9.50 |    14.52 |    17.54 |    13.02 |      7.46 |     20.72 | task_10856_cp2k_singlepoint_pre |
|        312 |   0.20 |  13.40 |    10.13 |    14.87 |    14.56 |    14.45 |      8.54 |     21.04 | task_10872_cp2k_singlepoint_pre |
|        313 |   0.07 |  13.10 |     9.68 |    14.43 |    16.15 |    12.95 |      9.37 |     22.39 | task_10874_cp2k_singlepoint_pre |
|        314 |   0.02 |  13.57 |    10.22 |    16.44 |    18.37 |    13.45 |      9.66 |     20.61 | task_10866_cp2k_singlepoint_pre |
|        315 |   0.18 |  14.25 |    10.46 |    15.12 |    19.39 |    14.55 |     10.47 |     23.27 | task_10862_cp2k_singlepoint_pre |
|        316 |   0.13 |  13.07 |     9.46 |    14.79 |    14.84 |    13.73 |      8.11 |     21.76 | task_10864_cp2k_singlepoint_pre |
|        317 |   0.18 |  13.60 |    10.17 |    15.18 |    18.06 |    13.65 |      7.63 |     22.14 | task_10870_cp2k_singlepoint_pre |
|        318 |   0.01 |  13.99 |    10.26 |    14.92 |    19.91 |    13.47 |      9.58 |     23.91 | task_10860_cp2k_singlepoint_pre |
|        319 |   0.02 |  14.37 |    10.12 |    16.87 |    15.34 |    14.63 |      8.79 |     25.21 | task_10868_cp2k_singlepoint_pre |
|        320 |   0.00 |  13.23 |     9.33 |    16.36 |    17.59 |    13.83 |     10.42 |     20.77 | task_10882_cp2k_singlepoint_pre |
|        321 |   0.11 |  13.90 |     9.74 |    14.63 |    18.10 |    15.75 |      8.28 |     22.78 | task_10880_cp2k_singlepoint_pre |
|        322 |   0.14 |  13.81 |    10.19 |    15.82 |    17.36 |    14.39 |      8.61 |     22.83 | task_10884_cp2k_singlepoint_pre |
|        323 |   0.11 |  13.65 |     9.89 |    16.25 |    18.06 |    14.57 |      8.88 |     21.11 | task_10876_cp2k_singlepoint_pre |
|        324 |   0.06 |  13.11 |     9.31 |    14.02 |    17.41 |    14.89 |      8.82 |     20.56 | task_10878_cp2k_singlepoint_pre |
|        325 |   0.14 |  12.58 |     9.59 |    15.81 |    17.48 |    12.50 |      7.52 |     18.36 | task_10886_cp2k_singlepoint_pre |
|        326 |   0.08 |  13.05 |     9.88 |    14.76 |    18.13 |    13.20 |      6.60 |     20.85 | task_10888_cp2k_singlepoint_pre |
|        327 |   0.11 |  13.87 |    10.26 |    16.35 |    18.58 |    14.58 |      8.27 |     21.44 | task_10890_cp2k_singlepoint_pre |
|        328 |   0.00 |  13.62 |    10.06 |    14.82 |    17.29 |    14.48 |     10.39 |     22.42 | task_10912_cp2k_singlepoint_pre |
|        329 |   0.00 |  14.58 |    10.01 |    15.34 |    17.22 |    16.56 |      9.39 |     25.25 | task_10914_cp2k_singlepoint_pre |
|        330 |   0.06 |  14.38 |    10.03 |    14.28 |    17.13 |    16.24 |     11.29 |     26.78 | task_10916_cp2k_singlepoint_pre |
|        331 |   0.13 |  13.88 |     9.82 |    15.52 |    17.18 |    15.58 |      8.65 |     23.59 | task_10918_cp2k_singlepoint_pre |
|        332 |   0.19 |  14.16 |    10.07 |    18.18 |    16.09 |    15.09 |      9.06 |     23.45 | task_10920_cp2k_singlepoint_pre |
|        333 |   0.17 |  14.33 |     9.88 |    15.82 |    16.93 |    16.52 |     11.67 |     24.78 | task_10922_cp2k_singlepoint_pre |
|        334 |   0.04 |  14.63 |    10.11 |    16.53 |    18.87 |    15.89 |      7.21 |     25.95 | task_10924_cp2k_singlepoint_pre |
|        335 |   0.09 |  14.01 |    10.20 |    16.55 |    17.69 |    14.65 |     10.26 |     23.64 | task_10926_cp2k_singlepoint_pre |
|        336 |   0.21 |  13.71 |     9.89 |    16.19 |    16.12 |    14.87 |      9.49 |     23.25 | task_10934_cp2k_singlepoint_pre |
|        337 |   0.18 |  13.42 |    10.07 |    16.26 |    15.82 |    13.88 |     10.09 |     22.21 | task_10928_cp2k_singlepoint_pre |
|        338 |   0.24 |  13.40 |     9.76 |    15.00 |    16.93 |    15.02 |     10.16 |     21.61 | task_10932_cp2k_singlepoint_pre |
|        339 |   0.02 |  14.08 |     9.50 |    16.14 |    16.72 |    15.80 |      8.77 |     25.15 | task_10930_cp2k_singlepoint_pre |
|        340 |   0.16 |  13.48 |     9.68 |    15.83 |    17.48 |    14.72 |       nan |     22.82 | task_10936_cp2k_singlepoint_pre |
|        341 |   0.11 |  15.23 |    10.99 |    17.08 |    18.78 |    16.83 |       nan |     26.95 | task_10938_cp2k_singlepoint_pre |
|        342 |   0.20 |  14.42 |    10.08 |    15.46 |    18.63 |    16.52 |       nan |     25.75 | task_10940_cp2k_singlepoint_pre |
|        343 |   0.06 |  12.86 |     9.65 |    15.70 |    15.79 |    13.61 |       nan |     20.97 | task_10948_cp2k_singlepoint_pre |
|        344 |   0.10 |  14.17 |    10.93 |    16.61 |    17.19 |    15.35 |       nan |     22.45 | task_10950_cp2k_singlepoint_pre |
|        345 |   0.01 |  14.16 |     9.70 |    16.25 |    18.32 |    15.58 |       nan |     25.72 | task_10942_cp2k_singlepoint_pre |
|        346 |   0.21 |  14.27 |     9.62 |    16.10 |    17.99 |    16.09 |       nan |     26.34 | task_10944_cp2k_singlepoint_pre |
|        347 |   0.06 |  13.85 |    10.03 |    16.16 |    17.38 |    15.55 |       nan |     22.89 | task_10952_cp2k_singlepoint_pre |
|        348 |   0.13 |  13.93 |    10.51 |    16.20 |    18.36 |    14.69 |       nan |     22.78 | task_10954_cp2k_singlepoint_pre |
|        349 |   0.01 |  13.83 |    10.25 |    16.25 |    18.80 |    14.21 |       nan |     23.29 | task_10946_cp2k_singlepoint_pre |
|        350 |   0.17 |  13.33 |     9.07 |    11.98 |    15.62 |    12.97 |      9.07 |     19.63 | task_10902_cp2k_singlepoint_pre |
|        351 |   0.03 |  13.56 |     9.32 |    15.13 |    20.48 |    12.49 |      8.39 |     20.56 | task_10892_cp2k_singlepoint_pre |
|        352 |   0.21 |  13.89 |     9.30 |    14.67 |    20.28 |    13.05 |      8.21 |     21.08 | task_10894_cp2k_singlepoint_pre |
|        353 |   0.24 |  13.17 |     9.17 |    13.18 |    22.42 |    12.30 |      8.81 |     19.27 | task_10896_cp2k_singlepoint_pre |
|        354 |   0.18 |  13.22 |     9.87 |    18.72 |    20.55 |    11.64 |      8.05 |     19.78 | task_10898_cp2k_singlepoint_pre |
|        355 |   0.13 |  12.69 |     9.41 |    18.47 |    16.41 |    11.75 |      7.96 |     18.16 | task_10900_cp2k_singlepoint_pre |
|        356 |   0.06 |  13.27 |    10.44 |    17.37 |    16.13 |    12.94 |      8.30 |     17.92 | task_10904_cp2k_singlepoint_pre |
|        357 |   0.01 |  12.67 |    10.52 |    17.71 |    14.93 |    11.33 |      7.41 |     18.81 | task_10908_cp2k_singlepoint_pre |
|        358 |   0.08 |  12.98 |     9.20 |    19.03 |    16.90 |    12.25 |      8.47 |     18.17 | task_10906_cp2k_singlepoint_pre |
|        359 |   0.14 |  12.35 |     8.66 |    13.06 |    14.49 |    12.35 |      7.42 |     17.44 | task_10910_cp2k_singlepoint_pre |
|        360 |   0.71 |  13.96 |      nan |      nan |      nan |    12.90 |      8.98 |     19.86 | task_13643_cp2k_singlepoint_pre |
|        361 |   0.42 |  15.21 |      nan |      nan |      nan |    13.25 |      9.86 |     23.10 | task_13639_cp2k_singlepoint_pre |
|        362 |   0.57 |  14.12 |      nan |      nan |      nan |    12.97 |      8.49 |     20.50 | task_13645_cp2k_singlepoint_pre |
|        363 |   0.67 |  14.43 |      nan |      nan |      nan |    13.30 |      9.03 |     20.72 | task_13641_cp2k_singlepoint_pre |
|        364 |   0.62 |  14.47 |      nan |      nan |      nan |    13.51 |      7.76 |     20.96 | task_13651_cp2k_singlepoint_pre |
|        365 |   0.53 |  14.46 |      nan |      nan |      nan |    13.33 |      8.06 |     21.17 | task_13649_cp2k_singlepoint_pre |
|        366 |   0.41 |  14.80 |      nan |      nan |      nan |    13.27 |      8.93 |     22.07 | task_13647_cp2k_singlepoint_pre |
|        367 |   0.32 |  14.80 |      nan |      nan |      nan |    13.42 |      9.22 |     21.68 | task_13655_cp2k_singlepoint_pre |
|        368 |   0.28 |  14.80 |      nan |      nan |      nan |    14.28 |      9.53 |     19.83 | task_13653_cp2k_singlepoint_pre |
|        369 |   0.17 |  14.80 |      nan |      nan |      nan |    13.50 |      9.46 |     21.43 | task_13657_cp2k_singlepoint_pre |
